product_title,handle,image_filename,image_alt_text,product_type,vendor,status,price_zar,compare_at_price_zar,tags,assigned_collections,short_description,bullet_highlights
Adjustable Drawer Divider Set,adjustable-drawer-divider-set,product-adjustable-drawer-divider-set.jpg,"Adjustable drawer divider set for organised drawers",Home Organisation,Get Yours,Draft,149,,"drawer dividers;storage;home organisation","Featured Practical Finds;Best Sellers;Home Organisation","Adjustable dividers for neater drawers in bedrooms, kitchens or offices.","Expandable fit|Easy drawer organisation|Useful for clothing utensils and accessories"
Modular Fridge Storage Bins,modular-fridge-storage-bins,product-modular-fridge-storage-bins.jpg,"Modular fridge storage bins arranged on a shelf",Kitchen & Storage,Get Yours,Draft,199,,"fridge storage;kitchen;organisation","Featured Practical Finds;New Arrivals;Kitchen & Storage","Storage bins for organising fridge shelves and pantry spaces.","Modular storage|Easy visibility|Useful for snacks produce and pantry items"
Under-Shelf Wire Storage Basket,under-shelf-wire-storage-basket,product-under-shelf-wire-storage-basket.jpg,"Under-shelf wire basket for extra storage",Home Organisation,Get Yours,Draft,129,,"wire basket;shelf storage;home organisation","Featured Practical Finds;Best Sellers;Home Organisation;Kitchen & Storage","A simple under-shelf basket for adding storage without drilling.","Slides under shelves|Good for kitchens and cupboards|Lightweight wire design"
Gray Fabric Storage Boxes,gray-fabric-storage-boxes,product-gray-fabric-storage-boxes-with-folded-clothing.jpg,"Gray fabric storage boxes with folded clothing",Home Organisation,Get Yours,Draft,175,,"fabric storage;boxes;home organisation","Home Organisation;Lifestyle","Soft fabric boxes for wardrobes, shelves and general tidy-up storage.","Foldable design|Neutral grey finish|Useful for clothing toys and linen"
Beige Linen Storage Bags,beige-linen-storage-bags,product-beige-linen-storage-bags.jpg,"Beige linen storage bags for home organisation",Home Organisation,Get Yours,Draft,149,,"linen bags;storage;home organisation","Home Organisation;Lifestyle","Light storage bags for seasonal clothing, bedding and household items.","Soft sided storage|Neutral beige colour|Easy to move and store"
Bamboo Desk Organizer,bamboo-desk-organizer,product-bamboo-desk-organiser.jpg,"Bamboo desk organiser with compartments",Office & Desk,Get Yours,Draft,199,,"desk organiser;bamboo;office","Office & Desk Essentials;Featured Practical Finds","A compact desktop organiser for pens, notes and everyday stationery.","Natural bamboo look|Multiple compartments|Keeps desktop items grouped"
Minimalist Desk Organizer,minimalist-desk-organizer,product-minimalist-desk-organiser.jpg,"Minimalist desk organiser on a clean workspace",Office & Desk,Get Yours,Draft,129,,"desk organiser;office;study","Office & Desk Essentials;New Arrivals","A clean desk organiser for small office and study essentials.","Compact footprint|Simple neutral styling|Useful for stationery and small tools"
Ergonomic Aluminium Laptop Stand,ergonomic-aluminium-laptop-stand,product-ergonomic-aluminium-laptop-stand.jpg,"Ergonomic aluminium laptop stand on a desk",Office & Desk,Get Yours,Draft,289,399,"laptop stand;office;desk","Best Sellers;Office & Desk Essentials","A sturdy laptop stand for raising screens during work or study.","Raises laptop height|Ventilated open design|Suitable for home office setups"
Adjustable Metal Laptop Stand,adjustable-metal-laptop-stand,product-adjustable-metal-laptop-stand.jpg,"Adjustable metal laptop stand folded on a desk",Office & Desk,Get Yours,Draft,249,,"laptop stand;adjustable;office","Office & Desk Essentials;Tech Accessories","An adjustable stand for flexible laptop positioning at a desk.","Adjustable viewing angle|Foldable design|Useful for work study and calls"
Sleek Metal Tablet Stand,sleek-metal-tablet-stand,product-sleek-metal-tablet-stand.jpg,"Sleek metal tablet stand holding a tablet",Tech Accessories,Get Yours,Draft,129,,"tablet stand;tech accessories;desk","Office & Desk Essentials;Tech Accessories","A compact metal stand for tablets, phones and small screens.","Desk-friendly size|Stable metal frame|Good for video calls and recipes"
Desk Cable Organiser,desk-cable-organiser,product-desk-cable-organiser.jpg,"Desk cable organiser for tidy charging cables",Tech Accessories,Get Yours,Draft,79,,"cable organiser;desk;tech accessories","Featured Practical Finds;Best Sellers;Office & Desk Essentials;Tech Accessories","A simple cable organiser for keeping charging cables within reach.","Reduces cable clutter|Compact desk accessory|Useful for chargers and headphones"
