Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
adjustable-drawer-divider-set,Adjustable Drawer Divider Set,"<p>Adjustable dividers for neater drawers in bedrooms, kitchens or offices.</p><ul><li>Expandable fit</li><li>Easy drawer organisation</li><li>Useful for clothing utensils and accessories</li></ul>",Get Yours,,Home Organisation,"drawer dividers, storage, home organisation",TRUE,Title,Default Title,GY-ADJUSTABLE-DRAWER-DIVIDER-SET,25,,deny,manual,149,,TRUE,TRUE,active
modular-fridge-storage-bins,Modular Fridge Storage Bins,<p>Storage bins for organising fridge shelves and pantry spaces.</p><ul><li>Modular storage</li><li>Easy visibility</li><li>Useful for snacks produce and pantry items</li></ul>,Get Yours,,Kitchen & Storage,"fridge storage, kitchen, organisation",TRUE,Title,Default Title,GY-MODULAR-FRIDGE-STORAGE-BINS,25,,deny,manual,199,,TRUE,TRUE,active
under-shelf-wire-storage-basket,Under-Shelf Wire Storage Basket,<p>A simple under-shelf basket for adding storage without drilling.</p><ul><li>Slides under shelves</li><li>Good for kitchens and cupboards</li><li>Lightweight wire design</li></ul>,Get Yours,,Home Organisation,"wire basket, shelf storage, home organisation",TRUE,Title,Default Title,GY-UNDER-SHELF-WIRE-STORAGE-BASKET,25,,deny,manual,129,,TRUE,TRUE,active
gray-fabric-storage-boxes,Gray Fabric Storage Boxes,"<p>Soft fabric boxes for wardrobes, shelves and general tidy-up storage.</p><ul><li>Foldable design</li><li>Neutral grey finish</li><li>Useful for clothing toys and linen</li></ul>",Get Yours,,Home Organisation,"fabric storage, boxes, home organisation",TRUE,Title,Default Title,GY-GRAY-FABRIC-STORAGE-BOXES,25,,deny,manual,175,,TRUE,TRUE,active
beige-linen-storage-bags,Beige Linen Storage Bags,"<p>Light storage bags for seasonal clothing, bedding and household items.</p><ul><li>Soft sided storage</li><li>Neutral beige colour</li><li>Easy to move and store</li></ul>",Get Yours,,Home Organisation,"linen bags, storage, home organisation",TRUE,Title,Default Title,GY-BEIGE-LINEN-STORAGE-BAGS,25,,deny,manual,149,,TRUE,TRUE,active
bamboo-desk-organizer,Bamboo Desk Organizer,"<p>A compact desktop organiser for pens, notes and everyday stationery.</p><ul><li>Natural bamboo look</li><li>Multiple compartments</li><li>Keeps desktop items grouped</li></ul>",Get Yours,,Office & Desk,"desk organiser, bamboo, office",TRUE,Title,Default Title,GY-BAMBOO-DESK-ORGANIZER,25,,deny,manual,199,,TRUE,TRUE,active
minimalist-desk-organizer,Minimalist Desk Organizer,<p>A clean desk organiser for small office and study essentials.</p><ul><li>Compact footprint</li><li>Simple neutral styling</li><li>Useful for stationery and small tools</li></ul>,Get Yours,,Office & Desk,"desk organiser, office, study",TRUE,Title,Default Title,GY-MINIMALIST-DESK-ORGANIZER,25,,deny,manual,129,,TRUE,TRUE,active
ergonomic-aluminium-laptop-stand,Ergonomic Aluminium Laptop Stand,<p>A sturdy laptop stand for raising screens during work or study.</p><ul><li>Raises laptop height</li><li>Ventilated open design</li><li>Suitable for home office setups</li></ul>,Get Yours,,Office & Desk,"laptop stand, office, desk",TRUE,Title,Default Title,GY-ERGONOMIC-ALUMINIUM-LAPTOP-STAND,25,,deny,manual,289,399,TRUE,TRUE,active
adjustable-metal-laptop-stand,Adjustable Metal Laptop Stand,<p>An adjustable stand for flexible laptop positioning at a desk.</p><ul><li>Adjustable viewing angle</li><li>Foldable design</li><li>Useful for work study and calls</li></ul>,Get Yours,,Office & Desk,"laptop stand, adjustable, office",TRUE,Title,Default Title,GY-ADJUSTABLE-METAL-LAPTOP-STAND,25,,deny,manual,249,,TRUE,TRUE,active
sleek-metal-tablet-stand,Sleek Metal Tablet Stand,"<p>A compact metal stand for tablets, phones and small screens.</p><ul><li>Desk-friendly size</li><li>Stable metal frame</li><li>Good for video calls and recipes</li></ul>",Get Yours,,Tech Accessories,"tablet stand, tech accessories, desk",TRUE,Title,Default Title,GY-SLEEK-METAL-TABLET-STAND,25,,deny,manual,129,,TRUE,TRUE,active
desk-cable-organiser,Desk Cable Organiser,<p>A simple cable organiser for keeping charging cables within reach.</p><ul><li>Reduces cable clutter</li><li>Compact desk accessory</li><li>Useful for chargers and headphones</li></ul>,Get Yours,,Tech Accessories,"cable organiser, desk, tech accessories",TRUE,Title,Default Title,GY-DESK-CABLE-ORGANISER,25,,deny,manual,79,,TRUE,TRUE,active
tech-organizer-case,Tech Organizer Case,"<p>A zip case for carrying cables, chargers and everyday tech accessories.</p><ul><li>Multiple pockets</li><li>Travel friendly</li><li>Keeps small tech items together</li></ul>",Get Yours,,Tech Accessories,"tech case, cables, travel",TRUE,Title,Default Title,GY-TECH-ORGANIZER-CASE,25,,deny,manual,149,,TRUE,TRUE,active
travel-pouch-set,Travel Pouch Set,"<p>A practical pouch set for packing toiletries, cables or daily essentials.</p><ul><li>Multiple pouch sizes</li><li>Useful for trips and errands</li><li>Keeps bag contents grouped</li></ul>",Get Yours,,Travel,"travel pouches, packing, organiser",TRUE,Title,Default Title,GY-TRAVEL-POUCH-SET,25,,deny,manual,175,,TRUE,TRUE,active
