Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
adjustable-drawer-divider-set,Adjustable Drawer Divider Set,"<p>Adjustable dividers for neater drawers in bedrooms, kitchens or offices.</p><ul><li>Expandable fit</li><li>Easy drawer organisation</li><li>Useful for clothing utensils and accessories</li></ul>",Get Yours,,Home Organisation,"drawer dividers, storage, home organisation",FALSE,Title,Default Title,GY-ADJUSTABLE-DRAWER-DIVIDER-SET,25,,deny,manual,149,,TRUE,TRUE,,1,Adjustable drawer divider set for organised drawers,draft
modular-fridge-storage-bins,Modular Fridge Storage Bins,<p>Storage bins for organising fridge shelves and pantry spaces.</p><ul><li>Modular storage</li><li>Easy visibility</li><li>Useful for snacks produce and pantry items</li></ul>,Get Yours,,Kitchen & Storage,"fridge storage, kitchen, organisation",FALSE,Title,Default Title,GY-MODULAR-FRIDGE-STORAGE-BINS,25,,deny,manual,199,,TRUE,TRUE,,1,Modular fridge storage bins arranged on a shelf,draft
under-shelf-wire-storage-basket,Under-Shelf Wire Storage Basket,<p>A simple under-shelf basket for adding storage without drilling.</p><ul><li>Slides under shelves</li><li>Good for kitchens and cupboards</li><li>Lightweight wire design</li></ul>,Get Yours,,Home Organisation,"wire basket, shelf storage, home organisation",FALSE,Title,Default Title,GY-UNDER-SHELF-WIRE-STORAGE-BASKET,25,,deny,manual,129,,TRUE,TRUE,,1,Under-shelf wire basket for extra storage,draft
gray-fabric-storage-boxes,Gray Fabric Storage Boxes,"<p>Soft fabric boxes for wardrobes, shelves and general tidy-up storage.</p><ul><li>Foldable design</li><li>Neutral grey finish</li><li>Useful for clothing toys and linen</li></ul>",Get Yours,,Home Organisation,"fabric storage, boxes, home organisation",FALSE,Title,Default Title,GY-GRAY-FABRIC-STORAGE-BOXES,25,,deny,manual,175,,TRUE,TRUE,,1,Gray fabric storage boxes with folded clothing,draft
beige-linen-storage-bags,Beige Linen Storage Bags,"<p>Light storage bags for seasonal clothing, bedding and household items.</p><ul><li>Soft sided storage</li><li>Neutral beige colour</li><li>Easy to move and store</li></ul>",Get Yours,,Home Organisation,"linen bags, storage, home organisation",FALSE,Title,Default Title,GY-BEIGE-LINEN-STORAGE-BAGS,25,,deny,manual,149,,TRUE,TRUE,,1,Beige linen storage bags for home organisation,draft
bamboo-desk-organizer,Bamboo Desk Organizer,"<p>A compact desktop organiser for pens, notes and everyday stationery.</p><ul><li>Natural bamboo look</li><li>Multiple compartments</li><li>Keeps desktop items grouped</li></ul>",Get Yours,,Office & Desk,"desk organiser, bamboo, office",FALSE,Title,Default Title,GY-BAMBOO-DESK-ORGANIZER,25,,deny,manual,199,,TRUE,TRUE,,1,Bamboo desk organiser with compartments,draft
minimalist-desk-organizer,Minimalist Desk Organizer,<p>A clean desk organiser for small office and study essentials.</p><ul><li>Compact footprint</li><li>Simple neutral styling</li><li>Useful for stationery and small tools</li></ul>,Get Yours,,Office & Desk,"desk organiser, office, study",FALSE,Title,Default Title,GY-MINIMALIST-DESK-ORGANIZER,25,,deny,manual,129,,TRUE,TRUE,,1,Minimalist desk organiser on a clean workspace,draft
ergonomic-aluminium-laptop-stand,Ergonomic Aluminium Laptop Stand,<p>A sturdy laptop stand for raising screens during work or study.</p><ul><li>Raises laptop height</li><li>Ventilated open design</li><li>Suitable for home office setups</li></ul>,Get Yours,,Office & Desk,"laptop stand, office, desk",FALSE,Title,Default Title,GY-ERGONOMIC-ALUMINIUM-LAPTOP-STAND,25,,deny,manual,289,399,TRUE,TRUE,,1,Ergonomic aluminium laptop stand on a desk,draft
adjustable-metal-laptop-stand,Adjustable Metal Laptop Stand,<p>An adjustable stand for flexible laptop positioning at a desk.</p><ul><li>Adjustable viewing angle</li><li>Foldable design</li><li>Useful for work study and calls</li></ul>,Get Yours,,Office & Desk,"laptop stand, adjustable, office",FALSE,Title,Default Title,GY-ADJUSTABLE-METAL-LAPTOP-STAND,25,,deny,manual,249,,TRUE,TRUE,,1,Adjustable metal laptop stand folded on a desk,draft
sleek-metal-tablet-stand,Sleek Metal Tablet Stand,"<p>A compact metal stand for tablets, phones and small screens.</p><ul><li>Desk-friendly size</li><li>Stable metal frame</li><li>Good for video calls and recipes</li></ul>",Get Yours,,Tech Accessories,"tablet stand, tech accessories, desk",FALSE,Title,Default Title,GY-SLEEK-METAL-TABLET-STAND,25,,deny,manual,129,,TRUE,TRUE,,1,Sleek metal tablet stand holding a tablet,draft
desk-cable-organiser,Desk Cable Organiser,<p>A simple cable organiser for keeping charging cables within reach.</p><ul><li>Reduces cable clutter</li><li>Compact desk accessory</li><li>Useful for chargers and headphones</li></ul>,Get Yours,,Tech Accessories,"cable organiser, desk, tech accessories",FALSE,Title,Default Title,GY-DESK-CABLE-ORGANISER,25,,deny,manual,79,,TRUE,TRUE,,1,Desk cable organiser for tidy charging cables,draft
tech-organizer-case,Tech Organizer Case,"<p>A zip case for carrying cables, chargers and everyday tech accessories.</p><ul><li>Multiple pockets</li><li>Travel friendly</li><li>Keeps small tech items together</li></ul>",Get Yours,,Tech Accessories,"tech case, cables, travel",FALSE,Title,Default Title,GY-TECH-ORGANIZER-CASE,25,,deny,manual,149,,TRUE,TRUE,,1,Tech organiser case with cables and accessories,draft
travel-pouch-set,Travel Pouch Set,"<p>A practical pouch set for packing toiletries, cables or daily essentials.</p><ul><li>Multiple pouch sizes</li><li>Useful for trips and errands</li><li>Keeps bag contents grouped</li></ul>",Get Yours,,Travel,"travel pouches, packing, organiser",FALSE,Title,Default Title,GY-TRAVEL-POUCH-SET,25,,deny,manual,175,,TRUE,TRUE,,1,Travel pouch set for packing small items,draft
travel-toiletry-organizer,Travel Toiletry Organizer,<p>A compartment organiser for toiletries and small travel essentials.</p><ul><li>Multiple compartments</li><li>Easy to pack</li><li>Useful for weekend trips</li></ul>,Get Yours,,Travel,"toiletry organiser, travel, bag",FALSE,Title,Default Title,GY-TRAVEL-TOILETRY-ORGANIZER,25,,deny,manual,199,,TRUE,TRUE,,1,Minimalist travel toiletry organiser set,draft
pantry-glass-jar-set,Pantry Glass Jar Set,<p>A clean jar set for pantry staples and kitchen shelf organisation.</p><ul><li>Clear jar design</li><li>Good for dry goods</li><li>Helps pantry shelves look tidy</li></ul>,Get Yours,,Kitchen & Storage,"glass jars, pantry, kitchen storage",FALSE,Title,Default Title,GY-PANTRY-GLASS-JAR-SET,25,,deny,manual,249,,TRUE,TRUE,,1,Minimalist pantry glass jar set on a kitchen shelf,draft
kitchen-sink-organizer,Kitchen Sink Organizer,"<p>A compact organiser for sponge, brush and sink-side essentials.</p><ul><li>Keeps sink area tidy</li><li>Small footprint</li><li>Useful for everyday cleaning tools</li></ul>",Get Yours,,Kitchen & Storage,"sink organiser, kitchen, storage",FALSE,Title,Default Title,GY-KITCHEN-SINK-ORGANIZER,25,,deny,manual,99,,TRUE,TRUE,,1,Modern kitchen sink organiser holding everyday sink items,draft
rolling-storage-cart,Rolling Storage Cart,"<p>A rolling cart for flexible storage in kitchens, bathrooms or workspaces.</p><ul><li>Wheeled storage</li><li>Multi-tier design</li><li>Useful in compact spaces</li></ul>",Get Yours,,Home Organisation,"storage cart, home organisation, rolling cart",FALSE,Title,Default Title,GY-ROLLING-STORAGE-CART,25,,deny,manual,399,,TRUE,TRUE,,1,Rolling storage cart with household items,draft
jewelry-organizer-box,Jewelry Organizer Box,<p>A small organiser box for jewellery and accessories.</p><ul><li>Compartment storage</li><li>Compact dresser size</li><li>Helps separate small accessories</li></ul>,Get Yours,,Lifestyle,"jewelry organiser, storage, lifestyle",FALSE,Title,Default Title,GY-JEWELRY-ORGANIZER-BOX,25,,deny,manual,175,,TRUE,TRUE,,1,Elegant jewellery organiser box with compartments,draft
